Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.017000,10,8.56795,6.46418,24.8644,0.910466
PM10,Warsaw,1,45,0.017000,15,9.31217,6.91354,26.1642,0.894274
PM10,Warsaw,1,45,0.017000,20,8.57191,6.56454,25.1759,0.907625
PM10,Warsaw,1,45,0.017000,25,8.33186,6.32238,24.4946,0.912515
PM10,Warsaw,1,45,0.017000,30,8.33662,6.32058,24.4118,0.911279
PM10,Warsaw,1,45,0.017000,35,8.26336,6.25994,24.238,0.911798
PM10,Warsaw,1,45,0.017000,40,8.55463,6.4291,24.7875,0.908809
PM10,Warsaw,1,45,0.017000,50,8.2104,6.17447,23.9482,0.914417
PM10,Warsaw,1,45,0.017000,60,8.278,6.27489,24.4068,0.913888
PM10,Warsaw,1,45,0.017000,100,8.3338,6.27852,24.381,0.913378
PM10,Warsaw,1,45,0.017000,120,8.50193,6.41336,24.7756,0.909746
PM10,Warsaw,1,45,0.018000,1,9.39314,7.01233,27.2159,0.892642
PM10,Warsaw,1,45,0.018000,5,7.59839,5.71762,22.5626,0.926223
PM10,Warsaw,1,45,0.018000,10,8.92943,6.68476,25.997,0.901697
PM10,Warsaw,1,45,0.018000,15,8.27451,6.26564,24.2762,0.914137
PM10,Warsaw,1,45,0.018000,20,8.0969,6.1703,24.1516,0.915985
PM10,Warsaw,1,45,0.018000,25,8.40854,6.34454,24.4188,0.910675
PM10,Warsaw,1,45,0.018000,30,8.22686,6.23345,24.1133,0.914936
PM10,Warsaw,1,45,0.018000,35,8.34348,6.30004,24.3739,0.913352
PM10,Warsaw,1,45,0.018000,40,8.36178,6.33847,24.6182,0.911936
PM10,Warsaw,1,45,0.018000,50,8.33876,6.33292,24.2431,0.911162
PM10,Warsaw,1,45,0.018000,60,8.16186,6.16592,23.8604,0.914622
PM10,Warsaw,1,45,0.018000,100,8.08321,6.09618,23.6169,0.917854
PM10,Warsaw,1,45,0.018000,120,8.16886,6.15733,23.8867,0.914962
PM10,Warsaw,1,45,0.019000,1,9.57544,7.16298,27.503,0.887521
PM10,Warsaw,1,45,0.019000,5,8.73487,6.56994,24.6329,0.904984
PM10,Warsaw,1,45,0.019000,10,8.42787,6.29508,24.1688,0.909929
PM10,Warsaw,1,45,0.019000,15,7.99715,6.05228,23.1524,0.918358
PM10,Warsaw,1,45,0.019000,20,8.02198,6.0222,22.9924,0.917403
PM10,Warsaw,1,45,0.019000,25,7.93482,5.98666,23.4565,0.92005
PM10,Warsaw,1,45,0.019000,30,8.25846,6.19884,23.8674,0.913541
PM10,Warsaw,1,45,0.019000,35,7.99755,6.02596,23.0768,0.918738
PM10,Warsaw,1,45,0.019000,40,8.38469,6.33538,24.2015,0.912397
PM10,Warsaw,1,45,0.019000,50,8.07613,6.09854,23.5636,0.917009
PM10,Warsaw,1,45,0.019000,60,7.97781,6.06011,23.3802,0.918256
PM10,Warsaw,1,45,0.019000,100,8.05644,6.10394,23.6045,0.916162
PM10,Warsaw,1,45,0.019000,120,8.13753,6.13701,23.6925,0.91532
PM10,Warsaw,1,45,0.020000,1,9.31096,6.94021,27.0212,0.895711
PM10,Warsaw,1,45,0.020000,5,7.76762,5.83326,22.7272,0.923023
PM10,Warsaw,1,45,0.020000,10,8.40296,6.37293,24.3124,0.911764
PM10,Warsaw,1,45,0.020000,15,8.36781,6.33217,24.255,0.910649
PM10,Warsaw,1,45,0.020000,20,8.03942,6.07122,23.2839,0.917427
PM10,Warsaw,1,45,0.020000,25,8.04252,6.09893,23.3251,0.917435
PM10,Warsaw,1,45,0.020000,30,8.48544,6.44295,24.1041,0.911264
PM10,Warsaw,1,45,0.020000,35,8.42248,6.32465,24.0495,0.909589
PM10,Warsaw,1,45,0.020000,40,8.11209,6.17926,23.7447,0.917361
PM10,Warsaw,1,45,0.020000,50,8.13887,6.20784,23.6643,0.916832
