0,0,0,0,0,0
31.4,2,-1.6,7,84.8,8
34,1.3,0.7,7,82.5,8
20.3,1.3,1,6.2,97.5,8
18,1.7,0.5,0.4,94,8
13,3.3,-2.5,0,88.5,8
14.7,3,-3.1,0,90,8
40.1,3,-4.6,0,83.5,8
72.2,1,-4.9,0,84.8,7
160.4,1,-6.2,0,82.8,8
130.1,1.3,-6.9,0,85,5
70.5,1.7,-5.6,0.1,85.5,7.3
81.9,2,-5,0.1,90,7.7
29.3,1.3,-2.2,0,96.3,8
37.3,1,-4.6,0,88.5,8
60.6,1,-4.5,0,90.5,8
120.9,1.7,-6.9,0,92,2.7
130.7,2,-7.5,0,90.8,8
40.4,3,-6.7,2.6,81.3,8
24.1,2,-9.2,0.1,60.5,8
31.6,2.3,-17.1,2.2,55.8,8
14.7,4,-14.1,2,65,8
34.9,2,-22.5,0,60.3,8
137.6,1.3,-21.9,0,77.5,8
182.8,0.7,-19.5,0,78.3,8
110.5,1,-14.8,0,78,8
146.6,0.7,-12.1,0,79.3,8
312,0.7,-13.4,0,79.5,8
135.7,2,-11.4,0,81,8
95.2,2,-7.1,0.2,83.3,8
22.9,2,-3.8,0,87.8,8
16.7,3,-1.5,0,94,8
27.7,2.7,-1,0,96.5,8
26.5,2,-1.7,0,84,8
21,3,-1.1,0.2,93,8
19.7,2,-1.8,0.1,89.8,8
84.1,4,-9.9,0.2,81.3,8
82.3,1.7,-9,2.6,81.3,8
27.1,3.7,-5.7,7.4,84.5,8
13.5,1,-0.5,4.4,94,8
25.2,1,1.8,1.2,97.3,8
64.3,2,-0.6,1.9,97.3,8
59.1,1,-5.9,1,84.5,7
15.2,1,-3.1,0.4,88.5,8
61.6,1,-4.8,2.2,83.3,8
77.2,1,-2.5,1.5,89.8,8
47.6,1,-0.5,0,93,8
42,3,-2.8,0.6,82.5,8
71.1,2,-4.2,2.1,87.8,8
48.5,1,-1.3,0,95,8
59.4,1,-1.2,3.1,96.5,8
57.5,1,0.7,0,85.3,5
36.4,2.3,1.5,8.8,99,8
16.9,2,-0.2,1.1,93.5,8
49.3,1,-3.7,0,89,8
22.5,1,-4.1,0,89.5,8
20.4,1,-3,0,88.8,8
25.5,1,-3,0.1,83.5,8
37.9,1.7,-6.1,0,79,6.7
41.9,2.3,-6,0,87.5,7
42.7,2.7,-4.9,0.5,87.3,8
33.6,3.3,-1.5,0.1,93.5,6
34.4,2.3,-1.7,0.3,71.3,3.3
58.3,1,-2.3,0.5,85,8
54.1,2,-2.4,0,83.8,8
42,3,-1.8,1.1,75.3,4
103.5,0.7,-7.6,0,81,6
91.1,2,-6.2,0,81.8,0.7
55.6,2.7,-4.4,0.5,75.8,4.7
56.3,1,-1.6,0.2,85.5,5.3
34.7,2,-1.6,0,84.5,8
22.6,2,-5.4,0,83.5,8
31.2,1.7,-6.8,0,81.3,7
41.2,1.7,-3.4,0,83.5,8
30.9,1.7,-0.8,0,86,8
34.3,2,-2.9,0,90.5,8
39.3,1,0.6,0.6,92.5,8
48.5,1,0.8,0.2,96.8,8
42.4,1,-0.4,0,88,8
27.4,1.7,0.5,0,90.5,7.3
24,2.3,1.1,0,88.8,8
47.1,1.7,-1.6,0,89,6.3
63.7,2,-0.9,0,87.8,2.3
55.2,2,-1.7,0,89.8,2
60.5,1,1.9,1.5,93.5,4
96.4,2,2.3,1.9,91.8,7
20.3,1,6.8,1.8,95,8
24.5,3,12.5,1.6,80,6
32.8,1,9.3,0,90.5,8
21.1,3,6.2,0,89,8
16.6,2,9.8,2.3,87.3,8
21,3,8.8,0,79.5,7
26.6,2.3,9.5,0,94.3,7
30.6,2.3,10.2,2.7,64.8,8
24.2,2.7,7.7,1.1,85.3,8
19.2,2,4.4,0.1,75.8,8
36.8,2.7,3.2,0,77.3,6
42.5,1,4.6,0,58.8,3.3
46.1,2,7.3,0,65.5,7
41.6,1.7,7.5,4.5,55.3,6.7
20.9,1,7.2,10.2,85,8
23.9,3,4.9,0,88.5,8
48.5,1,4.6,0,68.8,4
45.5,1,6.8,0.2,63.3,8
21.2,3.3,7.3,4.7,77.3,8
19,3.3,6,0,81.3,6
30.9,2,8.8,3.3,50.8,8
24.4,2,12.7,1.8,93,8
31.8,2.3,10.7,0,75.5,8
41,2.7,11.5,0,63.3,7
63.7,0.7,11.6,0,65,8
39,1.7,10.5,0,72,6.7
37.6,1.7,9.8,0.9,64.5,7.3
24.3,2,12.1,0.3,80.3,0.7
38.8,1.3,13.7,0,68.8,6
41.7,2,15.3,0,64.5,3.7
41,1.3,13.6,0,71.3,1.3
48.5,1.3,12.1,0,72.8,4
53.7,2.7,14.7,0,47.5,4
45.4,2.3,13.6,4.4,52.8,7.7
30.4,1.3,12.1,10.6,69,8
31,3,14.3,1.1,57.3,7
18.8,1.7,12.7,0,80.3,7
35.6,1.7,14.1,0,63.8,6.3
55.4,1.7,15.5,0,37.3,0
86.1,2,15,0,43,7
72.3,1.3,16.2,0,46.3,5.3
61,1,16.4,0,64,5
53.7,1.3,16.5,0.3,53.5,6
31.7,1.3,15.4,0.6,39.8,1.7
25.4,2,13,0,65.8,5
41.8,1.3,14.4,0,53.8,4.3
50.8,3,17.3,0,47.5,6.3
47.7,1.3,18.3,0.4,76,0.3
33.2,1.3,17,2.6,69.8,7.3
25.3,1.7,11.1,0,60,3.7
36.5,1.3,14.7,0.2,68.8,7
33.8,1,13.7,0.1,87.3,8
27.9,1.3,14.4,6.2,82,8
24.3,1.7,16.7,5.2,76,6.3
18.9,1,17.5,1.6,91.8,5
15.6,3.7,13.9,0,76.8,6
23.5,2,17.8,0,58.3,5
29.7,2,18.5,0,65.8,6.3
29.1,2,14.5,0.1,60.5,6.3
25.7,3.3,13.7,0.8,61.5,6.7
11.6,2.3,11.5,7.9,80.8,7.7
19.3,1,11.3,1.6,64.8,5.3
13.9,2,13.5,6.4,82,7.7
15.4,2.7,10.3,1.3,82.8,8
23.4,1.3,12.2,0,68.8,7
23.2,1,11.3,1.3,82,8
17.7,1,12,1.7,63.3,5
18,1,13.3,0,68.3,5
19.7,1,14.4,0,54.5,6.3
14.8,1.7,14.1,0.6,81,8
16.3,2.3,11.3,1.9,85.3,7.3
14.8,1.7,12,0.5,71,6.7
15.3,2,11.7,0,55.5,7
24.1,1.3,13.4,0,52.8,5.3
19.2,1.7,13.3,2,68,6
20.2,1.3,14.4,0,68,3.3
22.3,1.3,18.2,0,39.5,4
27.1,1.3,19.1,0,54,5
31,1,19.2,0,45.8,2.3
43.7,1,18.9,0,51.5,3
44.9,1.3,20.3,2.9,61.5,4
24.5,1,20.7,0,58,2.7
35.2,1,20.7,2.7,52,3.7
19.6,2,18.2,0,83.3,8
35.6,0.7,19.1,0,68.3,4
30.1,1,22.6,0,52.8,0.7
41.3,1,24.5,2,54.3,2
40.6,1,23.9,3.3,70.3,8
26.2,2.3,20.4,0,85.8,7.3
22.3,0.7,21.6,0,91.8,7
26.9,1,22.3,0,64,0.3
37.6,1.7,25.4,1.7,59.3,2.3
31.1,1.3,25.7,1.3,72.5,4.3
23.1,1.7,23,0.2,71.5,6
19.1,1,19.4,0,74.5,6.7
19.7,2,19.2,0,60.8,6
17.8,2.7,21.8,0,73.8,4.7
19,2.3,21.1,0,60.5,4
17.5,2,20.7,0,44.3,0
22,2,22.4,0,42.5,1.3
30.1,1.7,23.8,0,39.8,5
32,1.7,26,0,44.3,2
36.3,1,26.2,0,33.5,1.3
43.8,1,27.2,0,54.5,1
35.4,1,26.6,12.1,56,1
42.5,1.3,27.4,0,63.3,2
47.5,1.3,27.2,0,68.3,5.3
40.3,1.3,28.7,12.7,65.3,4.3
34.4,1.7,26.4,4.5,59,4.3
25.7,1.7,22.9,1.3,88.3,7.7
19.1,2.3,17.6,0,68.5,7
13.7,2.7,17.6,0,73,2
19.5,2.3,19.7,0,79,0.7
30.5,1.7,23.4,0,79.3,3
17.9,1.3,21.1,0,83.5,2.3
19.9,1,23.5,0,58,1.7
36,1.3,26.4,1.3,54,3.3
32.5,1,24,0,66.3,5.3
25.9,1,23.9,0,56.3,3.3
43.4,0,25.5,0,54.5,3.3
33.8,1,24.8,0,75,4.7
34,1,24.9,0,79.8,2
20.8,1.3,24.4,0,88.3,0
22.2,1,21.5,0,73.8,3.3
32.9,1,24.3,0,95.3,6.3
30.2,2,24,0,79.5,4.7
28.3,0.7,21.8,0.4,86.3,4
36.7,1,21.4,5.7,90.5,7.7
17.1,1.7,21.4,0,95,8
22,0.7,20.4,5.9,68.8,3.7
24.9,2,18.5,6.8,90.8,8
17.6,1,19.4,51.8,76.8,5.3
8.6,1.7,16.9,21.2,94,8
27.6,1.3,19.7,0,74.3,5.7
23.7,1,19.3,0.8,83.8,6.7
26.1,1,17.9,8.5,92,8
30.1,1,18.7,0,82.8,7
29.9,2,18.5,25.6,91.5,8
24.6,1.3,18.2,0.5,73.3,8
26.9,2,19.5,2.6,67.8,8
19.7,1.3,16,0.7,91.8,8
18.3,1.3,17.4,0,74.5,5.3
21.1,1,19.2,3.3,71.3,7
33.2,1.7,21.4,0,78.8,6.7
39.7,1.7,22.1,4.2,88.3,8
22,1.3,20.5,0,79.3,7.3
38.5,1,22.7,4.6,60.3,8
22.4,3,18.7,0,83.3,5.7
22,1.7,17.3,0.4,86.3,6.3
21.2,1.7,16.9,0.4,87,5
19.1,2.3,17,0.2,90,7.3
31,1.3,18,16.5,73.3,5
21.2,1,19.5,0.3,73.8,6
21.5,1.7,16.8,0,81.3,3.7
19.4,1.3,15.5,0,82.8,7
17.6,1.3,13.7,3.2,91.5,8
10.1,2.3,12.5,26.7,99.8,8
23.4,3,16.7,0,84.3,6.7
23.3,1.7,14.3,0,85,5.7
28.1,1,19.3,0,76,7
27,1.3,19.3,2.5,76.3,7.3
19.3,4,19,0.2,73.8,8
20.6,4,15.4,0.5,86.5,8
25.8,3.3,14.3,0,80,5.7
47,1.3,18.9,1.7,81,6.7
24.9,3,15.6,4,88.5,8
15.8,3,13.2,0.1,74.5,5
27.1,2,14,0,88.8,5.3
40.9,1,14.5,0,91.5,5.7
29.5,1,14.6,0,84.3,4
41.7,1,16.6,0,92.3,2
41.4,1,17.5,0,93.5,1
39.3,1.7,16.4,0,94.5,2.3
37.7,2.3,16.6,0,94.5,5
34.7,2,17.3,0,83.3,7
60.5,0.7,17.4,0,87.3,3.3
90.3,1,17.4,0,77.8,5
49.5,2,18.3,0.9,90.8,8
42.8,1,15.1,0,94.3,3.7
37.7,0.7,13.8,0,92.3,2
39.7,1.3,14.1,0,82.3,0
38.8,1,16.5,0,86.3,0
43.6,1.7,18.3,0,80.5,0
41.1,1.3,16.3,0,89.5,0
55.6,0.7,16.5,0,87.3,0
67.9,1.7,14.3,1.4,89,5.7
36.9,1,14.7,0,90.5,7
45.9,0,14.7,0,92.3,1.7
48.4,0.7,15.5,2.5,91.8,6.7
23.6,1,16.1,10.1,90.5,8
13.5,1,13.7,8.7,89.3,8
24,1.7,14.9,0.1,89.8,8
29.6,1.3,12,0,96,8
25.5,1.7,11.8,0,90.5,3
25.4,2,14.7,0.5,83.8,7
18.8,1,12.7,0,79.3,7
31.6,1,13.6,0,82.8,6.7
37.5,0.7,11.9,0,75.5,3
38.3,1.7,13.4,0,85,5.3
47.6,1,13.6,0,78,5
63,1,10.7,0,84.3,6
34.7,1,11.7,0,96,7
15.9,1,10.7,2.6,87.3,7
22.2,1,7.8,0,94.5,4.7
25.7,1,6.6,0,95,7
34.2,1,7.7,0,95.8,0
53.7,1,6.2,0,94.3,0
57.4,1,8.5,0.1,95.8,1
62.2,1,10.8,0,93.5,6
37,1,13.2,0,95.5,7.7
39.7,1,11.8,0.1,98,7
32.1,1.3,13.3,0.8,92.3,8
16.9,2.7,12.9,1.2,84.5,8
25.3,2,9.1,0.1,84.3,2.7
