42.5,46.1,41.6,9.0,7.5,1.7,20.9
46.1,41.6,20.9,10.0,7.2,1.0,23.9
41.6,20.9,23.9,11.0,4.9,3.0,48.5
20.9,23.9,48.5,12.0,4.6,1.0,45.5
23.9,48.5,45.5,13.0,6.8,1.0,21.2
48.5,45.5,21.2,14.0,7.3,3.3,19.0
45.5,21.2,19.0,15.0,6.0,3.3,30.9
21.2,19.0,30.9,16.0,8.8,2.0,24.4
19.0,30.9,24.4,17.0,12.7,2.0,31.8
30.9,24.4,31.8,18.0,10.7,2.3,41.0
24.4,31.8,41.0,19.0,11.5,2.7,63.7
31.8,41.0,63.7,20.0,11.6,0.7,39.0
41.0,63.7,39.0,21.0,10.5,1.7,37.6
63.7,39.0,37.6,22.0,9.8,1.7,24.3
39.0,37.6,24.3,23.0,12.1,2.0,38.8
37.6,24.3,38.8,24.0,13.7,1.3,41.7
24.3,38.8,41.7,25.0,15.3,2.0,41.0
38.8,41.7,41.0,26.0,13.6,1.3,48.5
41.7,41.0,48.5,27.0,12.1,1.3,53.7
41.0,48.5,53.7,28.0,14.7,2.7,45.4
48.5,53.7,45.4,29.0,13.6,2.3,30.4
53.7,45.4,30.4,30.0,12.1,1.3,31.0
45.4,30.4,31.0,1.0,14.3,3.0,18.8
30.4,31.0,18.8,2.0,12.7,1.7,35.6
31.0,18.8,35.6,3.0,14.1,1.7,55.4
18.8,35.6,55.4,4.0,15.5,1.7,86.1
35.6,55.4,86.1,5.0,15.0,2.0,72.3
55.4,86.1,72.3,6.0,16.2,1.3,61.0
86.1,72.3,61.0,7.0,16.4,1.0,53.7
72.3,61.0,53.7,8.0,16.5,1.3,31.7
61.0,53.7,31.7,9.0,15.4,1.3,25.4
53.7,31.7,25.4,10.0,13.0,2.0,41.8
31.7,25.4,41.8,11.0,14.4,1.3,50.8
25.4,41.8,50.8,12.0,17.3,3.0,47.7
41.8,50.8,47.7,13.0,18.3,1.3,33.2
50.8,47.7,33.2,14.0,17.0,1.3,25.3
47.7,33.2,25.3,15.0,11.1,1.7,36.5
33.2,25.3,36.5,16.0,14.7,1.3,33.8
25.3,36.5,33.8,17.0,13.7,1.0,27.9
36.5,33.8,27.9,18.0,14.4,1.3,24.3
33.8,27.9,24.3,19.0,16.7,1.7,18.9
27.9,24.3,18.9,20.0,17.5,1.0,15.6
24.3,18.9,15.6,21.0,13.9,3.7,23.5
18.9,15.6,23.5,22.0,17.8,2.0,29.7
15.6,23.5,29.7,23.0,18.5,2.0,29.1
23.5,29.7,29.1,24.0,14.5,2.0,25.7
29.7,29.1,25.7,25.0,13.7,3.3,11.6
29.1,25.7,11.6,26.0,11.5,2.3,19.3
