27.8,21.1
21.1,14.8
14.8,16.8
16.8,9.2
9.2,31.6
31.6,15.6
15.6,14.8
14.8,29.4
29.4,37.6
37.6,67.3
67.3,120.9
120.9,120.5
