Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,55,0.017000,50,13.6557,9.40453,37.4046,0.633394
PM10,Warsaw,1,55,0.018000,1,15.8257,11.269,43.4375,0.585991
PM10,Warsaw,1,55,0.018000,50,13.634,9.44983,37.4781,0.63861
PM10,Warsaw,1,55,0.019000,1,15.835,11.2712,43.3868,0.584718
PM10,Warsaw,1,55,0.019000,50,13.693,9.4765,37.353,0.632764
PM10,Warsaw,1,55,0.020000,1,15.8825,11.3246,43.4904,0.580386
PM10,Warsaw,1,55,0.020000,50,13.4783,9.38097,36.8668,0.650617
PM10,Warsaw,1,55,0.021000,1,15.8596,11.3213,43.6321,0.586059
PM10,Warsaw,1,55,0.021000,50,13.7947,9.57511,37.5577,0.627628
PM10,Warsaw,1,55,0.022000,1,15.8157,11.2659,42.7024,0.588575
PM10,Warsaw,1,55,0.022000,50,13.6326,9.38786,36.7179,0.634712
PM10,Warsaw,1,55,0.023000,1,15.5538,11.1208,42.1076,0.594076
PM10,Warsaw,1,55,0.023000,50,13.5055,9.35375,36.8699,0.632798
PM10,Warsaw,1,55,0.024000,1,15.5402,11.1235,42.8406,0.596887
PM10,Warsaw,1,55,0.024000,50,13.5966,9.30394,36.579,0.625915
PM10,Warsaw,1,55,0.025000,1,15.6497,11.2036,43.2235,0.592101
PM10,Warsaw,1,55,0.025000,50,13.5761,9.37516,37.03,0.635685
PM10,Warsaw,1,60,0.010000,1,15.7592,11.1525,42.5393,0.605572
PM10,Warsaw,1,60,0.010000,50,13.3281,9.29783,36.5087,0.667176
PM10,Warsaw,1,60,0.013000,1,15.7487,11.1667,42.717,0.60581
PM10,Warsaw,1,60,0.013000,50,13.3404,9.28828,36.6206,0.66015
PM10,Warsaw,1,60,0.014000,1,15.7283,11.1602,42.9063,0.605667
PM10,Warsaw,1,60,0.014000,50,13.3049,9.29436,36.6907,0.666519
PM10,Warsaw,1,60,0.015000,1,15.7298,11.1652,43.2226,0.602706
PM10,Warsaw,1,60,0.015000,50,13.21,9.18927,36.3878,0.671574
PM10,Warsaw,1,60,0.016000,1,15.7298,11.1649,43.2221,0.602698
PM10,Warsaw,1,60,0.016000,50,13.1803,9.2233,36.8102,0.674331
PM10,Warsaw,1,60,0.017000,1,16.1614,11.396,44.1829,0.594388
PM10,Warsaw,1,60,0.017000,50,13.0994,9.17417,36.2774,0.674246
PM10,Warsaw,1,60,0.018000,1,16.1484,11.3685,44.0405,0.595856
PM10,Warsaw,1,60,0.018000,50,13.1249,9.18981,36.6698,0.675258
PM10,Warsaw,1,60,0.019000,1,16.1257,11.3485,44.0836,0.594474
PM10,Warsaw,1,60,0.019000,50,13.3281,9.34991,37.4207,0.663064
PM10,Warsaw,1,60,0.020000,1,16.1516,11.3798,43.9942,0.596839
PM10,Warsaw,1,60,0.020000,50,13.4634,9.39057,37.1138,0.651062
PM10,Warsaw,1,60,0.021000,1,16.4169,11.4411,43.706,0.587007
PM10,Warsaw,1,60,0.021000,50,13.2878,9.35327,37.0149,0.66605
PM10,Warsaw,1,60,0.022000,1,15.8942,11.2759,43.6644,0.6006
PM10,Warsaw,1,60,0.022000,50,13.4393,9.2199,36.3855,0.651653
PM10,Warsaw,1,60,0.023000,1,15.8726,11.2814,43.7355,0.600102
PM10,Warsaw,1,60,0.023000,50,13.3333,9.29691,37.3632,0.666428
PM10,Warsaw,1,60,0.024000,1,15.8291,11.2151,43.8189,0.598511
PM10,Warsaw,1,60,0.024000,50,13.4953,9.36058,37.0072,0.655518
PM10,Warsaw,1,60,0.025000,1,15.8544,11.2049,44.1352,0.590321
PM10,Warsaw,1,60,0.025000,50,13.266,9.18347,36.7903,0.671897
PM10,Warsaw,1,65,0.010000,1,15.4862,11.0395,43.4434,0.606997
PM10,Warsaw,1,65,0.010000,50,13.0914,9.06669,37.1119,0.67011
PM10,Warsaw,1,65,0.013000,1,15.4172,10.9628,42.8409,0.61103
PM10,Warsaw,1,65,0.013000,50,13.0776,9.11594,37.3848,0.676084
PM10,Warsaw,1,65,0.014000,1,15.4372,10.9937,43.2608,0.606673
PM10,Warsaw,1,65,0.014000,50,13.0775,9.06075,37.6423,0.66821
PM10,Warsaw,1,65,0.015000,1,15.5837,11.1316,44.1771,0.596005
PM10,Warsaw,1,65,0.015000,50,13.2883,9.24169,38.3654,0.660781
PM10,Warsaw,1,65,0.016000,1,15.6301,11.1615,43.8865,0.591853
PM10,Warsaw,1,65,0.016000,50,13.1576,9.1323,37.9119,0.663514
PM10,Warsaw,1,65,0.017000,1,15.6301,11.1615,43.8865,0.591853
PM10,Warsaw,1,65,0.017000,50,12.9662,9.07497,37.4062,0.682089
PM10,Warsaw,1,65,0.018000,1,15.5388,11.0709,43.5989,0.59385
PM10,Warsaw,1,65,0.018000,50,13.0952,9.11261,37.3076,0.659793
PM10,Warsaw,1,65,0.019000,1,15.5985,11.1324,44.0116,0.590412
PM10,Warsaw,1,65,0.019000,50,13.2379,9.19243,37.9848,0.654429
PM10,Warsaw,1,65,0.020000,1,15.5881,11.194,44.6026,0.590932
PM10,Warsaw,1,65,0.020000,50,12.9711,9.11243,37.4839,0.668569
PM10,Warsaw,1,65,0.021000,1,15.607,11.2148,44.639,0.587018
PM10,Warsaw,1,65,0.021000,50,13.0571,9.12899,37.6426,0.667946
PM10,Warsaw,1,65,0.022000,1,15.6412,11.2322,44.8898,0.591806
PM10,Warsaw,1,65,0.022000,50,13.134,9.18662,38.1901,0.663448
PM10,Warsaw,1,65,0.023000,1,15.9051,11.2211,44.2573,0.585891
PM10,Warsaw,1,65,0.023000,50,13.0022,9.11817,37.573,0.672513
PM10,Warsaw,1,65,0.024000,1,15.8861,11.2348,44.6613,0.589395
PM10,Warsaw,1,65,0.024000,50,13.1829,9.20403,38.3527,0.665755
PM10,Warsaw,1,65,0.025000,1,15.9865,11.2997,44.8345,0.583581
PM10,Warsaw,1,65,0.025000,50,13.246,9.32098,39.1138,0.662703
