39.8633333333333,39.7,24.8,2,21.9
18.5,26.5,18.1,1,24.7
24.7,40.6,23.7,5,22.9
22.9,22.1,20.9,2,33.1
33.1,30.7,26,6,17.9
30.7,19.2,22.9,0,14
19.2,25.6,20.9,1,20.9
20.3,13.9,19.5,2,22.1
13.9,15.5,15.6,3,24.2
20.6,22.1,15.7,5,27.2
10.5,16.8,15.2,6,16.4
23.5,16.4,17.5,2,24.3
37.4,42.9,28.9,2,32
32.5,33.7,23.7,4,24
18,30.2,21.1,2,30.9
30.2,15,18.7,3,19.6
19.6,15.7,18.8,0,22.4
15.7,14.9,17.1,1,31.5
14.9,12.7,13.9,2,30.3
28.4,28.4,22.2,3,31.7
21.1,31,19.5,1,33.3
31,24.9,20.1,2,15.4
24.9,28,21.5,3,22.3
15.4,22.3,21.2,6,20.8
22.3,21.1,18.4,0,36.6
38.7,32.4,23.9,5,22
22,19.6,15,2,20.2
25.3,20.2,14.6,5,19.4
10,19.4,16.2,1,24.7
16.8,12.6,12.6,3,13.7
14.4,13.7,14.8,6,14.5
8.2,14.5,13,2,30.5
21,19.9,13.9,4,27.5
59.9,46.2,15.2,1,38.6
46.2,44.6,14.9,2,20.8
20.8,18.8,15.8,6,46.6
18.8,29.7,14.1,0,23.6
43.5,41,10.5,5,18.5
18.5,36.3,7.9,2,19.6
36.3,56.1,6.9,3,9.3
8.5,11.9,3.5,6,15.6
15.4,15.4,2.9,1,44.7
29,44.7,7.1,4,61.7
51,61.7,9.8,0,30.7
47.8,30.7,9.4,3,19
19,11.2,8.6,0,11.6
11.2,13.8,4.8,1,18.9
19.2,12.7,4.5,6,12.2
20.7,12.2,1,2,33.4
31.3,27,0.1,4,29
31.9,29,1.4,0,54
9,21.2,-0.4,3,26.5
36.7,22,0.8,5,11.3
18.4,11.3,6.7,1,32.6
14.2,24.5,4.3,3,23.1
23.1,25.2,2,0,10.9
19.8,10.9,3.2,3,14.7
10.9,9.4,0.1,4,22.4
9.4,18.3,-0.6,5,24.5
24.5,15.2,0.2,2,36.1
69.2,45.1,-4.4,2,49.9
45.1,63.6,-3.8,3,46.2
63.6,89,-5.6,4,54.6
49.9,46.2,-1,6,57
54.6,66.8,-0.3,1,20.5
57,17.1,-3.1,3,25.1
23.9,37.4,3.7,4,11.7
33.1,14.9,6.4,6,8.2
14.9,11.7,4.4,0,16
8.7,8.2,3.4,2,13.9
16,32.8,1.6,4,9.4
33.3,33.2,5,3,21.9
33.2,21.1,4.3,4,22.1
24,21.9,5,6,40.8
21.9,22.1,2.3,0,29.1
29.1,40.8,6.2,2,23.9
34.7,39.8,2.9,0,58.1
11.2,11,-1.9,5,27.4
20.2,25,-3.1,0,40.1
25,27.4,-0.5,1,53.6
11.4,9,6,0,26.7
17.4,18.7,2.8,2,25
13.5,25,3.6,5,32.8
32.8,33.3,7.3,2,24.3
10.6,24.3,5,5,14.2
13.2,21.5,4.9,0,15.4
