Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.017000,35,8.19311,5.89142,23.8967,0.916899
PM10,Warsaw,1,45,0.017000,40,8.35338,6.03673,24.4255,0.914222
PM10,Warsaw,1,45,0.017000,50,8.11468,5.87664,24.1202,0.918375
PM10,Warsaw,1,45,0.017000,60,8.35391,6.03054,24.3276,0.913687
PM10,Warsaw,1,45,0.017000,100,8.22652,5.97235,24.185,0.917003
PM10,Warsaw,1,45,0.018000,1,10.3562,7.20614,28.6535,0.876897
PM10,Warsaw,1,45,0.018000,5,8.09781,5.5794,22.4604,0.916846
PM10,Warsaw,1,45,0.018000,10,8.12626,5.7487,23.2607,0.91609
PM10,Warsaw,1,45,0.018000,15,7.99006,5.83817,23.7311,0.921946
PM10,Warsaw,1,45,0.018000,20,7.96517,5.8497,23.7341,0.921941
PM10,Warsaw,1,45,0.018000,25,8.14744,5.86704,23.5162,0.918333
PM10,Warsaw,1,45,0.018000,30,8.13606,5.89677,23.809,0.918463
PM10,Warsaw,1,45,0.018000,35,8.12439,5.86324,23.8053,0.91975
PM10,Warsaw,1,45,0.018000,40,7.96354,5.70882,23.0581,0.921222
PM10,Warsaw,1,45,0.018000,50,8.16388,5.87335,23.6403,0.917237
PM10,Warsaw,1,45,0.018000,60,8.10553,5.84485,23.4122,0.917888
PM10,Warsaw,1,45,0.018000,100,8.09967,5.84088,23.5293,0.918884
PM10,Warsaw,1,45,0.019000,1,10.359,7.18054,28.3731,0.870437
PM10,Warsaw,1,45,0.019000,5,8.58903,6.13102,24.3469,0.909126
PM10,Warsaw,1,45,0.019000,10,8.27772,5.95807,23.7106,0.91533
PM10,Warsaw,1,45,0.019000,15,8.21989,5.84173,23.737,0.916401
PM10,Warsaw,1,45,0.019000,20,8.22908,5.78287,23.0482,0.915264
PM10,Warsaw,1,45,0.019000,25,8.65003,6.18411,24.6919,0.907059
PM10,Warsaw,1,45,0.019000,30,8.04149,5.75996,23.2027,0.920313
PM10,Warsaw,1,45,0.019000,35,8.14817,5.75712,23.1852,0.917557
PM10,Warsaw,1,45,0.019000,40,8.05585,5.79337,23.3285,0.920081
PM10,Warsaw,1,45,0.019000,50,8.05443,5.71882,22.9462,0.92111
PM10,Warsaw,1,45,0.019000,60,8.19749,5.8143,23.2304,0.916388
PM10,Warsaw,1,45,0.019000,100,8.03402,5.6959,22.9031,0.919939
PM10,Warsaw,1,45,0.020000,1,10.4758,7.2787,28.5605,0.869742
PM10,Warsaw,1,45,0.020000,5,8.81427,6.28742,25.1263,0.906931
PM10,Warsaw,1,45,0.020000,10,7.97452,5.69937,22.9097,0.922908
PM10,Warsaw,1,45,0.020000,15,7.98662,5.65344,22.931,0.919973
PM10,Warsaw,1,45,0.020000,20,8.16729,5.78049,23.1084,0.916905
PM10,Warsaw,1,45,0.020000,25,8.28602,5.91269,23.8921,0.916961
PM10,Warsaw,1,45,0.020000,30,8.01361,5.70682,22.9149,0.919214
PM10,Warsaw,1,45,0.020000,35,7.97761,5.68306,22.9824,0.921513
PM10,Warsaw,1,45,0.020000,40,7.96308,5.65753,22.548,0.921178
PM10,Warsaw,1,45,0.020000,50,8.14997,5.76089,23.0773,0.916611
PM10,Warsaw,1,45,0.020000,60,8.1533,5.78537,23.215,0.918337
PM10,Warsaw,1,45,0.020000,100,7.95031,5.6648,22.8109,0.922195
PM10,Warsaw,1,45,0.021000,1,10.4747,7.33306,28.6158,0.868441
PM10,Warsaw,1,45,0.021000,5,8.62193,6.33083,25.3641,0.913799
PM10,Warsaw,1,45,0.021000,10,8.17621,5.85845,23.3269,0.917941
PM10,Warsaw,1,45,0.021000,15,7.95018,5.7897,23.2619,0.923711
PM10,Warsaw,1,45,0.021000,20,7.90877,5.75768,23.2483,0.924051
PM10,Warsaw,1,45,0.021000,25,8.02202,5.65732,22.9876,0.919626
PM10,Warsaw,1,45,0.021000,30,7.99233,5.69872,23.0087,0.922806
PM10,Warsaw,1,45,0.021000,35,8.03232,5.74215,23.1366,0.921931
PM10,Warsaw,1,45,0.021000,40,8.10894,5.89263,23.6396,0.920298
PM10,Warsaw,1,45,0.021000,50,8.19782,5.82294,23.2515,0.917547
PM10,Warsaw,1,45,0.021000,60,8.09105,5.79222,23.0561,0.919351
PM10,Warsaw,1,45,0.021000,100,8.24851,5.87591,23.316,0.915365
PM10,Warsaw,1,45,0.022000,1,10.5328,7.35478,28.6121,0.866202
PM10,Warsaw,1,45,0.022000,5,8.03038,5.92754,23.8099,0.924529
PM10,Warsaw,1,45,0.022000,10,8.1074,5.7363,23.2683,0.918471
PM10,Warsaw,1,45,0.022000,15,8.15843,5.80424,23.0805,0.916968
PM10,Warsaw,1,45,0.022000,20,8.3994,6.07116,24.0201,0.913789
PM10,Warsaw,1,45,0.022000,25,8.03007,5.73169,22.8589,0.919383
PM10,Warsaw,1,45,0.022000,30,8.02645,5.74761,22.8349,0.919823
PM10,Warsaw,1,45,0.022000,35,7.87682,5.70257,23.0543,0.924309
PM10,Warsaw,1,45,0.022000,40,8.13442,5.76881,23.2552,0.917821
PM10,Warsaw,1,45,0.022000,50,8.05388,5.8483,23.4347,0.920468
PM10,Warsaw,1,45,0.022000,60,7.90695,5.70903,22.886,0.923092
PM10,Warsaw,1,45,0.022000,100,8.03198,5.77048,23.0555,0.920957
PM10,Warsaw,1,45,0.023000,1,9.34359,6.27505,25.0818,0.890714
PM10,Warsaw,1,45,0.023000,5,8.45982,5.9248,24.1116,0.912953
PM10,Warsaw,1,45,0.023000,10,7.99778,5.81884,23.2627,0.923019
PM10,Warsaw,1,45,0.023000,15,8.53222,6.09943,24.1211,0.909913
PM10,Warsaw,1,45,0.023000,20,7.97066,5.71744,22.9687,0.921802
PM10,Warsaw,1,45,0.023000,25,8.04135,5.74435,23.2903,0.921607
PM10,Warsaw,1,45,0.023000,30,8.24502,5.932,23.6401,0.917988
PM10,Warsaw,1,45,0.023000,35,8.05587,5.80295,23.2453,0.920283
PM10,Warsaw,1,45,0.023000,40,8.18266,5.81082,23.2559,0.917777
PM10,Warsaw,1,45,0.023000,50,8.1355,5.85826,23.3981,0.918718
PM10,Warsaw,1,45,0.023000,60,8.04193,5.81565,23.1305,0.920807
PM10,Warsaw,1,45,0.023000,100,8.01791,5.7315,22.8363,0.920566
PM10,Warsaw,1,45,0.024000,1,9.68933,6.9656,27.1303,0.884479
PM10,Warsaw,1,45,0.024000,5,8.29018,6.10696,24.5829,0.919674
PM10,Warsaw,1,45,0.024000,10,8.08155,5.74217,23.0556,0.921035
PM10,Warsaw,1,45,0.024000,15,8.70078,6.11173,24.1207,0.906499
PM10,Warsaw,1,45,0.024000,20,7.95588,5.61927,22.3594,0.921239
PM10,Warsaw,1,45,0.024000,25,8.15549,5.89772,23.5314,0.919318
PM10,Warsaw,1,45,0.024000,30,8.03393,5.64301,22.793,0.923106
PM10,Warsaw,1,45,0.024000,35,8.17996,5.84804,23.4862,0.917724
PM10,Warsaw,1,45,0.024000,40,7.94079,5.71698,22.8054,0.922603
PM10,Warsaw,1,45,0.024000,50,8.06592,5.69838,22.8822,0.920153
PM10,Warsaw,1,45,0.024000,60,8.03273,5.73155,22.9435,0.92125
