Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,50,0.050000,35,7.06005,5.10586,21.2416,0.934755
PM10,Warsaw,1,50,0.050000,40,7.2164,5.15688,21.3722,0.931909
PM10,Warsaw,1,50,0.050000,50,7.26599,5.20364,21.7447,0.932443
PM10,Warsaw,1,50,0.050000,55,7.15856,5.2038,21.5541,0.932768
PM10,Warsaw,1,50,0.050000,60,7.15829,5.14104,21.3013,0.934059
PM10,Warsaw,1,50,0.060000,1,8.20271,5.82272,24.2111,0.918491
PM10,Warsaw,1,50,0.060000,5,7.24321,5.22901,21.4516,0.928078
PM10,Warsaw,1,50,0.060000,10,7.12798,5.1471,21.404,0.93133
PM10,Warsaw,1,50,0.060000,15,7.0208,5.12567,21.2036,0.932146
PM10,Warsaw,1,50,0.060000,20,7.2467,5.21647,21.4792,0.928179
PM10,Warsaw,1,50,0.060000,25,7.16381,5.19582,21.427,0.930807
PM10,Warsaw,1,50,0.060000,30,7.0683,5.13588,21.3272,0.930754
PM10,Warsaw,1,50,0.060000,35,7.10025,5.17361,21.3625,0.932456
PM10,Warsaw,1,50,0.060000,40,7.03145,5.12614,21.4225,0.932518
PM10,Warsaw,1,50,0.060000,50,7.07515,5.14442,21.3332,0.931761
PM10,Warsaw,1,50,0.060000,55,7.01662,5.11611,21.2842,0.933404
PM10,Warsaw,1,50,0.060000,60,7.11476,5.1804,21.4956,0.931062
PM10,Warsaw,1,50,0.070000,1,7.91382,5.51295,23.0153,0.921559
PM10,Warsaw,1,50,0.070000,5,6.82435,5.00049,20.6972,0.936395
PM10,Warsaw,1,50,0.070000,10,7.2869,5.2185,21.2199,0.925018
PM10,Warsaw,1,50,0.070000,15,7.08712,5.14218,21.0571,0.929909
PM10,Warsaw,1,50,0.070000,20,7.15869,5.19336,21.5444,0.931027
PM10,Warsaw,1,50,0.070000,25,7.31983,5.21417,21.09,0.923873
PM10,Warsaw,1,50,0.070000,30,7.29023,5.22687,21.3635,0.925806
PM10,Warsaw,1,50,0.070000,35,7.21805,5.21306,21.306,0.926403
PM10,Warsaw,1,50,0.070000,40,7.24631,5.19957,21.1326,0.926212
PM10,Warsaw,1,50,0.070000,50,7.19227,5.18531,21.2715,0.92747
PM10,Warsaw,1,50,0.070000,55,7.06127,5.18544,21.4218,0.931414
PM10,Warsaw,1,50,0.070000,60,7.13236,5.19761,21.229,0.928845
PM10,Warsaw,1,50,0.080000,1,7.65388,5.49413,22.2457,0.924634
PM10,Warsaw,1,50,0.080000,5,8.00306,5.47332,22.2683,0.910485
PM10,Warsaw,1,50,0.080000,10,7.40939,5.2012,21.1052,0.922159
PM10,Warsaw,1,50,0.080000,15,7.12783,5.14763,21.1762,0.929813
PM10,Warsaw,1,50,0.080000,20,7.08967,5.1643,21.4605,0.932249
PM10,Warsaw,1,50,0.080000,25,7.25783,5.20822,21.3774,0.927639
PM10,Warsaw,1,50,0.080000,30,7.38383,5.24698,21.3162,0.922686
PM10,Warsaw,1,50,0.080000,35,7.22743,5.25136,21.5149,0.927728
PM10,Warsaw,1,50,0.080000,40,7.42806,5.26233,21.4733,0.92203
PM10,Warsaw,1,50,0.080000,50,7.39275,5.27707,21.5556,0.923093
PM10,Warsaw,1,50,0.080000,55,7.35941,5.24471,21.2631,0.923513
PM10,Warsaw,1,50,0.080000,60,7.40075,5.29005,21.4533,0.922448
PM10,Warsaw,1,50,0.090000,1,7.84277,5.62716,23.2203,0.917373
PM10,Warsaw,1,50,0.090000,5,7.96567,5.64026,22.8546,0.912929
PM10,Warsaw,1,50,0.090000,10,7.50989,5.36224,22.0184,0.920102
PM10,Warsaw,1,50,0.090000,15,7.48203,5.2885,21.4553,0.921547
PM10,Warsaw,1,50,0.090000,20,7.48239,5.29613,21.6296,0.920846
PM10,Warsaw,1,50,0.090000,25,7.5167,5.28773,21.5068,0.922074
PM10,Warsaw,1,50,0.090000,30,7.34266,5.26792,21.5143,0.922791
PM10,Warsaw,1,50,0.090000,35,7.42433,5.27409,21.5426,0.923382
PM10,Warsaw,1,50,0.090000,40,7.60244,5.34629,21.4719,0.916767
PM10,Warsaw,1,50,0.090000,50,7.46485,5.28477,21.4691,0.9213
PM10,Warsaw,1,50,0.090000,55,7.46108,5.25964,21.348,0.922419
PM10,Warsaw,1,50,0.090000,60,7.48755,5.28057,21.4827,0.921582
PM10,Warsaw,1,50,0.100000,1,8.18312,5.75443,23.7379,0.908602
