Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,10,0.150000,35,12.9451,9.59966,44.0571,0.580977
PM10,Warsaw,1,10,0.150000,40,13.1476,9.94484,47.1753,0.558522
PM10,Warsaw,1,10,0.150000,50,13.081,9.75839,45.6282,0.546082
PM10,Warsaw,1,10,0.200000,1,15.3904,11.4805,53.5933,0.439566
PM10,Warsaw,1,10,0.200000,5,13.2859,10.1263,49.2551,0.616003
PM10,Warsaw,1,10,0.200000,10,13.7731,10.5128,51.6623,0.597562
PM10,Warsaw,1,10,0.200000,15,14.0993,10.9511,54.3242,0.605847
PM10,Warsaw,1,10,0.200000,20,13.815,10.7297,52.7902,0.600632
PM10,Warsaw,1,10,0.200000,25,13.8629,10.7213,52.5079,0.539418
PM10,Warsaw,1,10,0.200000,30,14.1789,11.0323,54.7982,0.585098
PM10,Warsaw,1,10,0.200000,35,13.8838,10.7086,52.6324,0.599581
PM10,Warsaw,1,10,0.200000,40,13.9155,10.8771,54.0222,0.607633
PM10,Warsaw,1,10,0.200000,50,13.5511,10.3617,51.1092,0.591667
PM10,Warsaw,1,10,0.250000,1,14.7065,11.601,56.4013,0.410142
PM10,Warsaw,1,10,0.250000,5,14.1459,10.7974,52.7467,0.495995
PM10,Warsaw,1,10,0.250000,10,14.2367,10.8755,52.7029,0.462951
PM10,Warsaw,1,10,0.250000,15,14.1312,10.9589,53.2281,0.457968
PM10,Warsaw,1,10,0.250000,20,13.846,10.5445,50.9738,0.485868
PM10,Warsaw,1,10,0.250000,25,14.1262,10.9479,54.2127,0.483536
PM10,Warsaw,1,10,0.250000,30,14.0313,11.0316,55.0462,0.507769
PM10,Warsaw,1,10,0.250000,35,14.3104,11.0568,53.7216,0.447235
PM10,Warsaw,1,10,0.250000,40,13.8063,10.6664,52.3865,0.497344
PM10,Warsaw,1,10,0.250000,50,14.466,11.2522,55.4172,0.457319
PM10,Warsaw,1,10,0.300000,1,15.5394,12.3865,61.4928,0.482791
PM10,Warsaw,1,10,0.300000,5,14.1167,10.7813,52.8691,0.45457
PM10,Warsaw,1,10,0.300000,10,14.6175,11.3532,56.0711,0.470557
PM10,Warsaw,1,10,0.300000,15,14.258,10.9044,53.087,0.442037
PM10,Warsaw,1,10,0.300000,20,14.3276,11.0137,53.6879,0.449382
PM10,Warsaw,1,10,0.300000,25,14.5922,11.3603,56.1332,0.45876
PM10,Warsaw,1,10,0.300000,30,14.3029,11.1391,55.2342,0.469293
PM10,Warsaw,1,10,0.300000,35,14.5211,11.2832,55.7435,0.462407
PM10,Warsaw,1,10,0.300000,40,14.5625,11.3584,56.1373,0.464015
PM10,Warsaw,1,10,0.300000,50,14.271,11.0456,54.1561,0.453009
PM10,Warsaw,1,10,0.350000,1,15.6435,11.9058,58.2954,0.275123
PM10,Warsaw,1,10,0.350000,5,14.996,11.3496,54.6107,0.29707
PM10,Warsaw,1,10,0.350000,10,14.6068,11.1576,53.9146,0.375241
PM10,Warsaw,1,10,0.350000,15,14.617,11.2852,55.3484,0.432186
PM10,Warsaw,1,10,0.350000,20,14.7434,11.3295,54.896,0.358461
PM10,Warsaw,1,10,0.350000,25,14.4806,11.1779,54.6971,0.431989
PM10,Warsaw,1,10,0.350000,30,14.6696,11.2843,54.9927,0.388072
PM10,Warsaw,1,10,0.350000,35,14.539,11.1685,54.5135,0.426207
PM10,Warsaw,1,10,0.350000,40,14.6279,11.3229,55.2122,0.399432
